show,season,episode,title,us_viewers,air_date,imdb_rating,total_votes,description
The Office,3,10,A Benihana Christmas,8440000,12/14/06,8.8,4791,"Trouble among the members of the party planning committee results with Pam and Karen hosting a rival Christmas party, but Michael isn't interested in celebrating after being dumped by Carol."
The Office,3,11,Back from Vacation,8800000,1/4/07,8.6,4333,"Michael isn't supposed to let anyone know that he and Jan went on vacation together in Jamaica, but he accidentally circulates a compromising photo of them to the office via e-mail."
The Office,3,12,Traveling Salesmen,10120000,1/11/07,8.6,4371,"Dwight does a favor for Angela to keep her from getting in trouble. Andy finds out and uses it against him to get in tighter with Michael. Now Dwight must fess up, which will reveal his relationship with Angela, or risk getting fired."
The Office,3,13,The Return,10200000,1/18/07,8.8,4592,"Andy does the impossible--he makes everyone in the office miss Dwight, who is forced to take a job at Staples. Meanwhile, Oscar comes back to the office and Michael predictably throws a stereotypical Mexican party to celebrate."
The Office,3,14,Ben Franklin,10110000,2/1/07,8,4246,"Michael asks Jim to get a male stripper for Phyllis's office bachelorette party, but he gets a Ben Franklin impersonator instead. Meanwhile, the men's bachelor party goes as planned until Michael becomes uncomfortable with the stripper."
The Office,3,15,Phyllis' Wedding,8840000,2/8/07,8.2,4301,"Michael exaggerates the importance of his small role in Phyllis's wedding and makes an ass out of himself, and Pam notices that Phyllis stole all of her wedding ideas from her original wedding plans."
The Office,3,16,Business School,8840000,2/15/07,8.9,4994,"Michael is a guest speaker for Ryan's business class, but they have a falling-out after Michael finds out that Ryan spoke negatively about Dunder-Mifflin. And back at the office, Dwight tries to kill a bat that he found in the ceiling."
The Office,3,17,Cocktails,8300000,2/22/07,8.5,4251,"While Michael and Jan go to their first Dunder Mifflin outing as an official couple, the office workers left behind go out for happy hour. During happy hour, Roy finds out that Jim and Pam kissed at Casino Night."
The Office,3,18,The Negotiation,6740000,4/5/07,9,4848,"Dwight saves Jim from an attack by Roy, but Dwight won't allow Jim to thank him for it. Meanwhile, Darryl asks Michael for a pay raise, and Michael discovers that he is woefully underpaid--so Michael goes to headquarters to ask for one himself."
The Office,3,19,Safety Training,7710000,4/12/07,8.8,4516,"Andy returns to the office after weeks of anger management training, determined to make a fresh start with all the Dunder-Mifflin employees. Meanwhile, it's safety training day in the office, and Michael and Dwight are on a mission to illuminate the dangers of the workplace."
The Office,3,20,Product Recall,7560000,4/26/07,8.7,4455,"Michael tries to be proactive during a watermark crisis, but only makes the situation worse. Meanwhile, Angela has trouble being apologetic with customers, and Andy discovers a secret about his new girlfriend."
